from_cat;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
to_cat;;;;;;;;;;;;;;;;;
1;;9037.329;5192.073;12340.372;14232.84;5203.94;43033.682;52978.261;12049.932;15804.218;6214.71;18031.26;11234.651;15870.641;22052.425;12675.343;17312.833
2;9037.329;;14013.67;10318.071;12187.965;4928.065;41011.381;50955.96;20007.977;13785.749;13424.693;14915.454;9212.35;7591.077;20030.124;10653.042;15267.958
3;5192.073;14013.67;;17199.314;19091.782;9897.145;47892.624;57837.203;7498.903;20273.219;7083.464;22500.261;16093.593;20846.982;26911.367;17534.285;22171.775
4;12340.372;10318.071;17199.314;;4464.933;10021.164;33092.093;43036.672;22515.401;22890.121;17964.713;24492.813;1226.941;17269.559;12110.836;1688.987;7507.812
5;14232.84;12187.965;19091.782;4464.933;;11893.331;32461.955;42406.534;24439.651;24762.288;19857.181;26364.98;3958.357;15362.151;11480.698;3829.79;5907.318
6;5203.94;4928.065;9897.145;10021.164;11893.331;;40714.474;50659.053;16849.411;13959.86;9857.969;15562.552;8915.443;11761.377;19733.217;10356.135;14973.324
7;43033.682;41011.381;47892.624;33092.093;32461.955;40714.474;;11563.527;53208.711;53533.861;48658.023;53895.961;32585.517;38518.468;25401.276;32455.788;29062.698
8;52978.261;50955.96;57837.203;43036.672;42406.534;50659.053;11563.527;;63153.29;63478.44;58602.602;63840.54;42530.096;48463.047;35345.855;42400.367;39007.277
9;12049.932;20007.977;7498.903;22515.401;24439.651;16849.411;53208.711;63153.29;;25176.929;11375.677;27895.035;21409.68;26841.289;32227.454;22850.372;27519.644
10;15804.218;13785.749;20273.219;22890.121;24762.288;13959.86;53533.861;63478.44;25176.929;;15319.869;3528.376;21784.4;15868.665;32506.516;23225.092;27474.771
11;6214.71;13424.693;7083.464;17964.713;19857.181;9857.969;48658.023;58602.602;11375.677;15319.869;;18037.975;16858.992;20104.143;27676.766;18299.684;22937.174
12;18031.26;14915.454;22500.261;24492.813;26364.98;15562.552;53895.961;63840.54;27895.035;3528.376;18037.975;;23387.092;16853.753;33205.813;24827.784;28174.068
13;11234.651;9212.35;16093.593;1226.941;3958.357;8915.443;32585.517;42530.096;21409.68;21784.4;16858.992;23387.092;;16163.838;11604.26;1561.912;7001.236
14;15870.641;7591.077;20846.982;17269.559;15362.151;11761.377;38518.468;48463.047;26841.289;15868.665;20104.143;16853.753;16163.838;;17491.123;16776.324;12459.378
15;22052.425;20030.124;26911.367;12110.836;11480.698;19733.217;25401.276;35345.855;32227.454;32506.516;27676.766;33205.813;11604.26;17491.123;;11474.531;8081.441
16;12675.343;10653.042;17534.285;1688.987;3829.79;10356.135;32455.788;42400.367;22850.372;23225.092;18299.684;24827.784;1561.912;16776.324;11474.531;;6871.507
17;17312.833;15267.958;22171.775;7507.812;5907.318;14973.324;29062.698;39007.277;27519.644;27474.771;22937.174;28174.068;7001.236;12459.378;8081.441;6871.507;
